category_price,quantity,product_id,color
3580142,406,23,Turquoise
1317656,247,24,Red
3129700,276,4,Red
3204762,453,9,Aquamarine
3020456,347,19,Fuscia
2002190,56,27,Khaki
3343637,410,6,Mauv
4714508,380,2,Teal
2343593,136,15,Aquamarine
1308644,416,12,Orange
3054986,284,26,Indigo
4346506,142,12,Violet
640788,447,21,Violet
1034842,457,27,Turquoise
928127,477,20,Puce
1011654,59,6,Orange
2768047,320,6,Orange
1632971,267,16,Goldenrod
844371,433,25,Crimson
2274875,270,14,Orange
2973991,388,6,Pink
2801441,339,8,Aquamarine
2384679,255,7,Aquamarine
867683,340,19,Pink
4118678,457,23,Crimson
4927320,155,11,Mauv
2836460,326,4,Pink
566824,263,1,Khaki
4899977,488,4,Fuscia
4950927,326,19,Fuscia
721269,263,18,Maroon
1906236,196,20,Indigo
4869641,212,9,Red
2811548,407,23,Pink
4649343,378,20,Maroon
2712165,257,11,Green
1227555,149,30,Yellow
2588880,199,10,Fuscia
4724622,235,25,Orange
4793679,271,11,Green
3117257,192,27,Purple
1957149,197,20,Crimson
3418613,154,20,Aquamarine
1811072,192,11,Maroon
3425744,237,26,Aquamarine
2652604,191,1,Khaki
3483051,485,3,Indigo
705635,63,27,Mauv
3093666,84,5,Purple
4003724,182,24,Orange
