category_id,Quantity,order_id,bill_id,unit_price,color,discount
49,2,1,1,,,
1,3,1,1,,,
18,3,2,2,,,
17,3,3,3,,,
49,1,3,3,,,
33,3,4,4,,,
48,2,5,5,,,
19,3,5,5,,,
13,1,6,6,,,
35,2,6,6,,,
50,3,6,6,,,
7,3,6,6,,,
34,2,6,31,,,
29,1,7,7,,,
21,3,7,7,,,
44,2,8,8,,,
13,2,9,32,,,
6,2,10,10,,,
48,1,10,10,,,
8,1,11,11,,,
43,3,12,12,,,
9,1,13,13,,,
30,3,14,14,,,
4,2,14,14,,,
42,1,14,14,,,
17,3,15,15,,,
40,3,15,15,,,
19,3,16,16,,,
28,1,16,16,,,
8,1,17,17,,,
27,1,17,17,,,
38,3,17,17,,,
8,2,18,18,,,
11,3,19,19,,,
18,3,21,21,,,
2,1,21,21,,,
10,3,21,21,,,
20,3,22,22,,,
11,1,22,22,,,
16,2,23,23,,,
26,2,23,23,,,
37,3,23,23,,,
14,2,24,24,,,
9,1,25,25,,,
40,1,26,26,,,
10,3,27,27,,,
8,2,28,28,,,
49,3,29,29,,,
22,1,30,30,,,
36,2,30,30,,,
